start_station_name,end_station_name,num_trips
Marienlyst,Sjøsiden ved trappen,1
Marienlyst,Sogn Studentby,1
Sofienbergparken sør,Dælenenggata,1
Chr. Michelsens Gate,Adamstuen,1
Sofienbergparken sør,Colbjørnsens gate,1
Sofienbergparken sør,Chr. Michelsens Gate,1
Sofienbergparken sør,Brynseng T-bane,1
Marienlyst,Sognsveien,1
Sofienbergparken sør,Borgenveien,1
Marienlyst,Over Rådhusgata,1
Marienlyst,St. Hanshaugen park nord,1
Sofienbergparken sør,Georg Morgenstiernes hus,1
Carl Berners plass sør,Torshovparken vest,1
Marienlyst,Olaf Ryes plass,1
Carl Berners plass sør,St. Hanshaugen park nord,1
Carl Berners plass sør,St. Hanshaugen park sør,1
Sofienbergparken sør,Jarlsborgveien,1
Sofienbergparken sør,Ila,1
Carl Berners plass sør,Stensgata,1
Sofienbergparken sør,Idioten,1
Sofienbergparken sør,Huk 2,1
Carl Berners plass sør,Storo Storsenter,1
Hammersborg Torg,Lilleborgbanen,1
Carl Berners plass sør,Studentparlamentet,1
Marienlyst,Olav Kyrres plass,1
Marienlyst,Oscars gate,1
Sofienbergparken sør,Hoffsveien,1
Marienlyst,Oslo Handelsgymnasium,1
Carl Berners plass sør,Thune,1
Carl Berners plass sør,Tiedemannsparken,1
Marienlyst,Oslo Hospital,1
Marienlyst,Oslo Plaza,1
Hammersborg Torg,Kværnerveien,1
Hammersborg Torg,Huk 1,1
Sofienbergparken sør,Bjølsendumpa,1
Sofienbergparken sør,Biskop Gunnerus' gate,1
Marienlyst,Tøyen skole,1
Marienlyst,Tøyenbekken,1
Chr. Michelsens Gate,Ensjø T-bane,1
Marienlyst,Uelands gate,1
Chr. Michelsens Gate,Filipstadveien,1
Hammersborg Torg,Georg Morgenstiernes hus,1
Chr. Michelsens Gate,Forskningsveien,1
Marienlyst,Ullevål sykehus,1
Sofienbergparken nordvest,St. Hanshaugen park sør,1
Chr. Michelsens Gate,Frogner Stadion,1
Chr. Michelsens Gate,Frogner plass,1
Hammersborg Torg,Fyrstikktorget,1
Chr. Michelsens Gate,Fyrstikktorget,1
Sofienbergparken nordvest,Sognsveien,1
Chr. Michelsens Gate,Georg Morgenstiernes hus,1
Marienlyst,Ullevålsalléen,1
Sofienbergparken nordvest,Sogn Studentby,1
Sofienbergparken nordvest,Slottsparken Øst,1
Sofienbergparken nordvest,Skøyen Stasjon,1
Sofienbergparken nordvest,Storo Storsenter,1
Sofienbergparken nordvest,Studenterlunden,1
Sofienbergparken nordvest,Suhms gate,1
Chr. Michelsens Gate,Colosseum Kino,1
Sofienbergparken sør,Bak Niels Treschows hus nord,1
Hammersborg Torg,Huitfeldts gate,1
Sofienbergparken sør,BI Nydalen,1
Marienlyst,St. Hanshaugen park vest,1
